team	match	result	mood	mood_confidence	fear	anger	disgust	happiness	neutral	sadness	surprise
din	din_bes	1	Positive	84	0	7	53	26	0	5	2
din	din_bes	1	Positive	49	10	19	30	9	0	12	14
bes	din_bes	0	Positive	11	28	13	10	10	0	7	4
bes	din_bes	0	Positive	46	4	14	31	24	0	16	3
bes	din_bes	0	Positive	6	6	12	0	0	0	9	13
bes	din_bes	0	Positive	35	1	24	35	24	0	7	2
bes	din_bes	0	Positive	0	2	3	6	1	0	4	12
bes	din_bes	0	Positive	4	38	11	4	2	0	7	16
bes	din_bes	0	Positive	28	30	14	3	2	0	23	2
juv	juv_din	1	Positive	41	4	15	3	0	0	5	11
juv	juv_din	1	Positive	35	5	8	14	11	0	40	1
juv	juv_din	1	Positive	11	12	2	7	2	0	49	1
juv	juv_din	1	Positive	0	13	16	1	0	0	7	1
juv	juv_din	1	Positive	68	7	13	22	21	0	8	8
juv	juv_din	1	Positive	41	31	13	3	1	0	6	5
juv	juv_din	1	Positive	3	28	11	2	3	0	6	22
juv	juv_din	1	Positive	3	50	15	1	1	0	6	9
juv	juv_din	1	Positive	0	8	9	10	0	0	13	1
juv	juv_din	1	Positive	0	3	50	10	4	0	8	4
din	juv_din	0	Positive	70	9	13	7	17	0	14	20
din	juv_din	0	Positive	59	8	36	21	2	0	2	1
din	juv_din	0	Positive	66	14	11	22	6	0	9	7
bel	bel_ita	0	Positive	46	13	2	3	10	0	7	40
ita	bel_ita	1	Positive	47	4	78	3	2	0	1	3
ita	bel_ita	1	Positive	0	4	22	8	0	0	9	2
ita	bel_ita	1	Positive	1	11	2	1	0	0	8	9
ita	bel_ita	1	Positive	0	7	6	3	8	0	5	3
ita	bel_ita	1	Positive	41	12	7	53	21	0	3	0
ita	bel_ita	1	Positive	3	13	8	3	0	0	56	2
ita	bel_ita	1	Positive	15	16	30	6	5	0	6	6
ita	bel_ita	1	Positive	5	7	20	0	0	0	3	1
ita	bel_ita	1	Positive	22	44	9	13	8	0	7	8
ita	bel_ita	1	Positive	7	6	49	6	1	0	4	2
ita	bel_ita	1	Positive	9	4	8	0	0	0	10	1
eng	eng_rus	2	Positive	37	8	14	5	2	0	8	38
eng	eng_rus	2	Positive	72	6	34	39	0	0	4	1
eng	eng_rus	2	Positive	64	8	18	11	31	0	3	10
eng	eng_rus	2	Positive	14	54	2	4	5	0	4	18
nap	ben_nap	1	Positive	9	6	20	20	10	0	13	3
nap	ben_nap	1	Positive	33	11	0	10	3	0	5	59
nap	ben_nap	1	Positive	25	4	3	4	21	0	4	34
nap	ben_nap	1	Positive	30	5	29	3	5	0	3	28
nap	ben_nap	1	Positive	2	9	4	2	1	0	53	10
nap	ben_nap	1	Positive	35	0	29	6	6	0	3	2
nap	ben_nap	1	Positive	1	46	13	5	2	0	10	5
nap	ben_nap	1	Positive	0	2	5	3	1	0	10	9
nap	ben_nap	1	Positive	0	1	19	1	0	0	1	3
nap	ben_nap	1	Positive	0	10	3	3	4	0	41	20
nap	ben_nap	1	Positive	8	33	47	2	0	0	4	2
